Player,Nation,Pos,Squad,Born,90s,CrdY,CrdR,Fls
Brenden Aaronson,USA,MF,Philadelphia,2000,21.2,0,0,17
Saad Abdul-Salaam,USA,DF,FC Cincinnati,1991,4.7,0,0,4
Mohammed Abu,GHA,MF,D.C. United,1991,3.7,2,0,7
Lalas Abubakar,GHA,DF,Colorado,1994,16.8,5,0,21
David Accam,GHA,FWMF,Nashville,1990,2.3,0,0,7
Nicolás Acevedo,URU,MF,NYCFC,1999,1.5,1,0,5
Ifunanyachi Achara,USA,MF,Toronto FC,1997,1,0,0,1
Bryan Acosta,HON,MF,FC Dallas,1993,8.4,3,1,24
Kellyn Acosta,USA,MF,Colorado,1995,12.7,5,0,14
Mo Adams,ENG,MF,Atlanta,1996,8.7,3,0,26
Fanendo Adi,NGA,FW,Columbus,1990,2,0,0,4
Ali Adnan Kadhim,IRQ,DFMF,Vancouver,1993,19.6,2,0,20
Harrison Afful,GHA,DF,Columbus,1986,20,5,0,30
Juan Agudelo,USA,FWMF,Miami,1992,9.4,4,1,18
Matheus Aiás,BRA,FW,Orlando City,1996,0.2,0,0,0
José Aja,URU,DF,Minnesota,1993,11.9,6,0,23
Jacob Akanyirige,USA,DF,San Jose,2001,0.8,0,0,0
Tesho Akindele,CAN,FW,Orlando City,1992,9.1,0,0,7
Ayo Akinola,USA,FW,Toronto FC,2000,11.8,1,0,28
Oswaldo Alanís,MEX,DF,San Jose,1989,13.2,1,0,7
Fatai Alashe,USA,MF,Columbus,1993,4.8,2,0,11
Fatai Alashe,USA,MF,FC Cincinnati,1993,0.3,1,0,2
Ignacio Aliseda,ARG,FWMF,Chicago,2000,15.5,1,0,15
Osvaldo Alonso,CUB,MF,Minnesota,1985,8.3,4,0,12
Jozy Altidore,USA,FWMF,Toronto FC,1989,8.3,3,0,12
Alexander Alvarado,ECU,FWMF,Orlando City,1999,0.3,0,0,1
Efrain Alvarez,MEX,FWMF,LA Galaxy,2002,8,0,0,3
Luis Amarilla,PAR,FW,Minnesota,1995,4.7,2,0,5
Frankie Amaya,USA,MF,FC Cincinnati,2000,19.3,7,0,42
Mikey Ambrose,USA,DF,Miami,1993,3.4,0,0,3
José Andrés Martínez,VEN,MF,Philadelphia,1994,12.7,7,0,31
Jalil Anibaba,USA,DF,Nashville,1988,6.5,2,0,4
Brian Anunga,CMR,MF,Nashville,1996,8.7,1,0,19
Julian Araujo,USA,DFFW,LA Galaxy,2001,14.3,7,2,37
Luis Argudo,USA,MF,Miami,1995,0.1,0,0,1
Daniel Armando Ríos,MEX,FW,Nashville,1995,7.8,0,0,11
Xavier Arreaga,ECU,DF,Seattle,1994,12.7,4,0,14
Paul Arriola,USA,MF,D.C. United,1995,0.2,0,0,1
Artur,BRA,MF,Columbus,1996,20.3,3,0,43
Yamil Asad,ARG,MFFW,D.C. United,1994,17.5,5,0,17
Dairon Asprilla,COL,FW,Portland,1992,0.5,1,0,2
Joshua Atencio,USA,MF,Seattle,2002,0.2,0,0,1
Jeff Attinella,USA,GK,Portland,1988,1,0,0,0
Eduard Atuesta,COL,MF,Los Angeles FC,1997,14.7,3,0,21
Auro,BRA,DF,Toronto FC,1996,16.6,5,0,19
Micheal Azira,UGA,MF,Chicago,1987,1.4,1,0,2
Dominique Badji,SEN,FW,Nashville,1992,8.3,1,0,16
Zico Bailey,USA,DF,FC Cincinnati,2000,3.3,1,0,3
Theo Bair,CAN,FWMF,Vancouver,1999,4.9,0,0,6
Corey Baird,USA,FWMF,Real Salt Lake,1996,17,4,0,22
Michael Baldisimo,CAN,MF,Vancouver,2000,7.8,5,0,10
Ezequiel Barco,ARG,FWMF,Atlanta,1999,11.5,3,0,8
Tom Barlow,USA,FW,NY Red Bulls,1995,10.8,0,0,13
Álvaro Barreal,ARG,FW,FC Cincinnati,2000,3.6,0,0,7
Michael Barrios,COL,FW,FC Dallas,1991,18.6,5,0,26
Cole Bassett,USA,MF,Colorado,2001,10.9,1,0,10
Clement Bayiha,CAN,DF,Montreal,1999,0.8,0,0,2
Tanner Beason,USA,DF,San Jose,1997,9,1,0,4
Brayan Beckeles,HON,DF,Nashville,1985,0.8,2,0,2
Kyle Beckerman,USA,MF,Real Salt Lake,1982,4.3,5,1,11
Alejandro Bedoya,USA,MF,Philadelphia,1987,20.3,9,0,29
George Bello,USA,DF,Atlanta,2002,18.3,2,0,12
Jordan Bender,USA,MF,Orlando City,2001,0.5,0,0,4
Joe Bendik,USA,GK,Philadelphia,1989,1,0,0,0
Nicolas Benezet,FRA,FWMF,Colorado,1991,5.5,1,0,9
Sebastian Berhalter,USA,MF,Columbus,2001,4.4,1,0,6
Robert Berić,SVN,FW,Chicago,1991,21.4,1,0,37
Matt Besler,USA,DF,Sporting KC,1987,9,1,0,10
Nick Besler,USA,MFDF,Real Salt Lake,1993,6.3,2,0,10
Janio Bikel,POR,MFDF,Vancouver,1995,10.5,5,1,25
Noah Billingsley,NZL,DF,Minnesota,1997,0.1,0,0,0
David Bingham,USA,GK,LA Galaxy,1989,18,3,0,1
Luis Binks,ENG,DF,Montreal,2001,19.6,7,1,30
Steve Birnbaum,USA,DF,D.C. United,1991,10,1,0,16
José Bizama,CHI,DF,Houston,1994,6.3,1,0,5
Tristan Blackmon,USA,DF,Los Angeles FC,1996,10.9,2,0,17
Andre Blake,JAM,GK,Philadelphia,1990,21,2,0,2
Sebastián Blanco,ARG,FWMF,Portland,1988,7.4,1,0,8
Latif Blessing,GHA,MFDF,Los Angeles FC,1996,19.1,4,0,35
Emmanuel Boateng,GHA,FWMF,Columbus,1994,3.6,2,0,4
Pablo Bonilla,VEN,DF,Portland,1999,9.8,4,0,17
Alex Bono,USA,GK,Toronto FC,1994,3,0,0,0
Jonathan Bornstein,USA,DF,Chicago,1984,12.7,2,0,11
Gustavo Bou,ARG,MFFW,New England,1990,14.8,0,0,9
Michael Boxall,NZL,DF,Minnesota,1988,19,4,0,21
Michael Bradley,USA,MF,Toronto FC,1987,11.8,2,0,9
Zachary Brault-Guillard,CAN,DF,Montreal,1998,19.9,2,0,17
Bressan,BRA,DF,FC Dallas,1993,13,4,0,9
Frédéric Brillant,FRA,DF,D.C. United,1985,18.7,5,1,15
Brandt Bronico,USA,DFMF,Chicago,1995,3.1,1,0,5
Will Bruin,USA,FWMF,Seattle,1989,6.3,1,0,4
Tajon Buchanan,CAN,FWDF,New England,1999,12.1,1,0,20
Adam Buksa,POL,FW,New England,1996,16.7,4,0,30
Teal Bunbury,USA,FWMF,New England,1990,16.2,3,0,22
Cory Burke,JAM,FW,Philadelphia,1991,1.3,0,0,5
Evan Bush,USA,GK,Vancouver,1986,8,1,0,0
Gianluca Busio,USA,MFFW,Sporting KC,2002,14.1,5,0,23
Alexander Büttner,NED,DF,New England,1989,13.9,0,0,12
Handwalla Bwana,USA,FWMF,Nashville,1997,0.5,0,0,0
