Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
Atlanta,27,,45.2,23,253,2070,23.0,30,25,30,0,0,45,1,1.30,1.09,2.39,1.30,2.39,28.9,28.9,23.6,52.5,1.26,1.03,2.28,1.26,2.28
Chicago,25,,49.0,23,253,2070,23.0,38,31,37,1,2,41,0,1.65,1.35,3.00,1.61,2.96,35.4,33.9,25.3,59.2,1.54,1.10,2.64,1.47,2.58
Colorado,22,,48.0,18,198,1620,18.0,27,15,25,2,3,44,3,1.50,0.83,2.33,1.39,2.22,22.8,20.5,14.3,34.7,1.27,0.79,2.06,1.14,1.93
Columbus,26,,47.8,23,253,2070,23.0,21,13,15,6,6,56,3,0.91,0.57,1.48,0.65,1.22,29.9,25.4,20.1,45.5,1.30,0.87,2.18,1.10,1.98
D.C. United,26,,54.0,23,253,2070,23.0,40,27,38,2,3,42,3,1.74,1.17,2.91,1.65,2.83,36.9,34.5,26.8,61.3,1.60,1.16,2.77,1.50,2.67
FC Cincinnati,30,,50.7,23,253,2070,23.0,36,24,33,3,3,49,3,1.57,1.04,2.61,1.43,2.48,30.5,28.2,20.2,48.4,1.33,0.88,2.20,1.23,2.10
FC Dallas,27,,48.6,22,242,1980,22.0,24,18,21,3,3,44,3,1.09,0.82,1.91,0.95,1.77,30.6,28.3,19.6,47.9,1.39,0.89,2.28,1.29,2.18
Houston,26,,51.5,23,253,2070,23.0,39,25,36,3,3,41,1,1.70,1.09,2.78,1.57,2.65,37.7,35.4,27.0,62.4,1.64,1.17,2.81,1.54,2.71
LA Galaxy,25,,55.0,22,242,1980,22.0,46,34,42,4,6,25,2,2.09,1.55,3.64,1.91,3.45,35.5,31.0,23.4,54.4,1.62,1.06,2.68,1.41,2.47
Los Angeles FC,28,,41.4,22,242,1980,22.0,36,27,32,4,5,52,3,1.64,1.23,2.86,1.45,2.68,29.1,25.5,19.2,44.7,1.32,0.87,2.20,1.16,2.03
Miami,28,,52.9,23,253,2070,23.0,34,20,30,4,6,46,0,1.48,0.87,2.35,1.30,2.17,29.8,25.2,19.6,44.9,1.30,0.85,2.15,1.10,1.95
Minnesota,28,,52.7,21,231,1890,21.0,25,16,22,3,5,39,1,1.19,0.76,1.95,1.05,1.81,36.3,32.5,24.1,56.6,1.73,1.15,2.87,1.55,2.69
Montreal,26,,52.0,23,253,2070,23.0,42,34,40,2,4,28,1,1.83,1.48,3.30,1.74,3.22,38.7,35.8,28.6,64.4,1.68,1.24,2.93,1.56,2.80
Nashville,26,,55.5,23,253,2070,23.0,22,18,22,0,0,34,1,0.96,0.78,1.74,0.96,1.74,25.4,25.4,18.8,44.2,1.10,0.82,1.92,1.10,1.92
New England,25,,48.8,23,253,2070,23.0,23,17,22,1,1,38,1,1.00,0.74,1.74,0.96,1.70,26.9,26.3,20.5,46.8,1.17,0.89,2.06,1.14,2.03
NY Red Bulls,27,,54.3,23,253,2070,23.0,30,19,27,3,3,33,1,1.30,0.83,2.13,1.17,2.00,34.0,31.7,23.5,55.2,1.48,1.02,2.50,1.38,2.40
NYCFC,22,,44.0,23,253,2070,23.0,25,13,22,3,4,42,1,1.09,0.57,1.65,0.96,1.52,28.2,25.1,16.3,41.4,1.23,0.71,1.94,1.09,1.80
Orlando City,28,,49.7,23,253,2070,23.0,24,19,23,1,2,55,0,1.04,0.83,1.87,1.00,1.83,25.7,24.2,18.4,42.6,1.12,0.80,1.92,1.05,1.85
Philadelphia,23,,52.1,23,253,2070,23.0,20,16,19,1,2,33,4,0.87,0.70,1.57,0.83,1.52,25.5,24.0,19.4,43.4,1.11,0.84,1.95,1.04,1.89
Portland,27,,53.5,23,253,2070,23.0,35,22,34,1,2,38,1,1.52,0.96,2.48,1.48,2.43,35.3,33.8,22.2,56.0,1.53,0.96,2.50,1.47,2.43
Real Salt Lake,26,,47.7,22,242,1980,22.0,33,25,32,1,1,40,0,1.50,1.14,2.64,1.45,2.59,28.7,28.0,20.6,48.6,1.31,0.94,2.24,1.27,2.21
San Jose,27,,44.3,23,253,2070,23.0,48,34,45,3,4,45,2,2.09,1.48,3.57,1.96,3.43,37.0,33.8,25.4,59.2,1.61,1.11,2.71,1.47,2.58
Seattle,27,,45.5,22,242,1980,22.0,22,15,20,2,2,35,1,1.00,0.68,1.68,0.91,1.59,20.9,19.4,15.9,35.3,0.95,0.72,1.68,0.88,1.61
Sporting KC,23,,50.3,21,231,1890,21.0,23,20,23,0,2,51,4,1.10,0.95,2.05,1.10,2.05,25.9,24.3,18.4,42.8,1.23,0.88,2.11,1.16,2.04
Toronto FC,29,,45.5,23,253,2070,23.0,25,14,23,2,3,56,1,1.09,0.61,1.70,1.00,1.61,25.2,23.0,17.3,40.3,1.10,0.75,1.85,1.00,1.75
Vancouver,27,,58.2,23,253,2070,23.0,41,33,38,3,3,41,5,1.78,1.43,3.22,1.65,3.09,38.0,35.8,29.1,65.0,1.65,1.27,2.92,1.56,2.82
